point,stage,training_games_vs_dragapult,rabsca_reward,games,decided_games,win_rate_pct,win_rate_95ci_half,rabsca_in_play_pct,rabsca_in_play_95ci_half
P0,"League training, start (imitation-learned policy)",0,off,1500,1500,20.0,2.1,8.5,1.4
P1,"League training, checkpoint 1",67000,off,1500,1500,20.1,2.1,5.5,1.2
P2,"League training, checkpoint 2",147000,off,1500,1500,26.1,2.3,10.3,1.6
P3,"Generalist RL, checkpoint 1",210000,off,3000,2999,30.9,1.7,14.2,1.3
P4,"Generalist RL, checkpoint 2 (Rabsca reward introduced)",308000,on,1500,1500,38.4,2.5,48.3,2.5
P5,"Generalist RL, checkpoint 3",430000,on,1500,1499,44.6,2.5,55.6,2.5
P6,"Dragapult ex specialist, checkpoint 1",686000,on,1500,1499,49.7,2.5,63.1,2.5
P7,"Dragapult ex specialist, checkpoint 2",891000,off,1500,1500,51.2,2.5,60.6,2.5
P8,"Dragapult ex specialist (submitted, slot c)",1185000,off,1500,1500,55.6,2.5,62.8,2.5
